Y;solde;csp;transactions;connexions;virement;penibilites;note
0.15;35.92;2.00;44.00;43.00;1.00;12.25;2.00
0.08;1757.98;5.00;5.00;23.00;5.00;0.03;0.00
0.13;1734.98;5.00;28.00;8.00;3.00;0.16;0.00
0.30;36.92;2.00;43.00;39.00;10.00;11.65;2.00
0.08;232.59;3.00;6.00;42.00;7.00;0.26;3.00
0.14;1757.98;5.00;5.00;28.00;6.00;0.03;0.00
0.14;79.92;2.00;0.00;39.00;4.00;0.00;2.00
0.55;663.15;4.00;6.00;43.00;1.00;0.09;4.00
0.05;1724.98;5.00;38.00;20.00;3.00;0.22;0.00
0.08;67.92;2.00;12.00;19.00;4.00;1.77;2.00
0.55;70.92;2.00;9.00;17.00;1.00;1.27;2.00
0.26;642.15;4.00;27.00;35.00;5.00;0.42;4.00
0.09;238.59;3.00;0.00;0.00;9.00;0.00;3.00
0.13;193.59;3.00;45.00;24.00;5.00;2.32;3.00
0.32;7.15;1.00;18.00;21.00;6.00;25.18;1.00
0.27;52.92;2.00;27.00;24.00;7.00;5.10;2.00
0.05;192.59;3.00;46.00;0.00;10.00;2.39;3.00
0.10;72.92;2.00;7.00;3.00;10.00;0.96;2.00
0.10;620.15;4.00;49.00;15.00;3.00;0.79;4.00
0.05;4.15;1.00;21.00;19.00;2.00;50.63;1.00
0.29;1756.98;5.00;6.00;12.00;7.00;0.03;0.00
0.14;196.59;3.00;42.00;33.00;8.00;2.14;3.00
0.05;1754.98;5.00;8.00;31.00;9.00;0.05;0.00
0.52;1715.98;5.00;47.00;41.00;3.00;0.27;0.00
0.08;222.59;3.00;16.00;5.00;7.00;0.72;3.00
0.87;1737.98;5.00;25.00;21.00;6.00;0.14;0.00
0.08;668.15;4.00;1.00;18.00;9.00;0.01;4.00
0.05;1.00;1.00;46.00;11.00;10.00;460.00;1.00
0.08;654.15;4.00;15.00;23.00;10.00;0.23;4.00
0.08;6.15;1.00;19.00;4.00;0.00;30.91;1.00
0.45;1736.98;5.00;26.00;24.00;10.00;0.15;0.00
0.24;224.59;3.00;14.00;14.00;10.00;0.62;3.00
0.08;194.59;3.00;44.00;20.00;1.00;2.26;3.00
0.85;668.15;4.00;1.00;9.00;1.00;0.01;4.00
0.08;628.15;4.00;41.00;15.00;7.00;0.65;4.00
0.05;1.00;1.00;40.00;27.00;7.00;400.00;1.00
0.08;226.59;3.00;12.00;39.00;9.00;0.53;3.00
0.14;7.15;1.00;18.00;42.00;0.00;25.18;1.00
0.09;54.92;2.00;25.00;14.00;10.00;4.55;2.00
0.14;207.59;3.00;31.00;35.00;1.00;1.49;3.00
0.08;1720.98;5.00;42.00;24.00;4.00;0.24;0.00
0.42;230.59;3.00;8.00;11.00;1.00;0.35;3.00
0.05;636.15;4.00;33.00;11.00;8.00;0.52;4.00
0.05;1746.98;5.00;16.00;14.00;10.00;0.09;0.00
0.05;237.59;3.00;1.00;20.00;6.00;0.04;3.00
0.26;68.92;2.00;11.00;39.00;2.00;1.60;2.00
0.13;202.59;3.00;36.00;38.00;6.00;1.78;3.00
0.08;1.00;1.00;32.00;39.00;7.00;320.00;1.00
0.13;55.92;2.00;24.00;29.00;1.00;4.29;2.00
0.55;1748.98;5.00;14.00;12.00;2.00;0.08;0.00
0.60;1727.98;5.00;35.00;18.00;1.00;0.20;0.00
0.08;639.15;4.00;30.00;25.00;7.00;0.47;4.00
0.09;192.59;3.00;46.00;34.00;8.00;2.39;3.00
0.14;41.92;2.00;38.00;20.00;10.00;9.07;2.00
0.08;646.15;4.00;23.00;7.00;6.00;0.36;4.00
0.14;1.00;1.00;37.00;25.00;6.00;370.00;1.00
0.08;1.00;1.00;34.00;48.00;6.00;340.00;1.00
0.14;1.00;1.00;45.00;10.00;7.00;450.00;1.00
0.05;47.92;2.00;32.00;49.00;8.00;6.68;2.00
0.10;1.00;1.00;26.00;47.00;8.00;260.00;1.00
0.30;1719.98;5.00;43.00;14.00;9.00;0.25;0.00
0.26;1728.98;5.00;34.00;0.00;0.00;0.20;0.00
0.32;6.15;1.00;19.00;28.00;0.00;30.91;1.00
0.65;72.92;2.00;7.00;44.00;4.00;0.96;2.00
0.14;235.59;3.00;3.00;23.00;9.00;0.13;3.00
0.47;629.15;4.00;40.00;22.00;8.00;0.64;4.00
0.24;658.15;4.00;11.00;39.00;1.00;0.17;4.00
0.05;1.00;1.00;36.00;16.00;0.00;360.00;1.00
